Identificativo;Canto;Cerchio;Personaggi;Creatore;Data_creazione;Luogo_creazione;Tecnica;Colore;Editore;Immagine;Item
oggetto 1;I;Ante-Inferno;Dante;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto01;Item 1
oggetto 2;II;Ante-Inferno;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto02;Item 2
oggetto 3;III;Ante-Inferno;Caronte;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto03;Item 3
oggetto 4;IV;Primo cerchio;Dante, Virgilio, Omero, Orazio, Ovidio, Lucano;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto04;Item 4
oggetto 5;V;Secondo cerchio;Paolo, Francesca;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto05;Item 5
oggetto 6;VI;Terzo cerchio;Dante, Virgilio, Cerbero;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto06;Item 6
oggetto 7;VII;Quarto e quinto cerchio;Dante, Virgilio, Pluto;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto07;Item 7
oggetto 8;VIII;Quinto cerchio;Dante, Virgilio, Flegias, Filippo Argenti;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto08;Item 8
oggetto 9;IX;Sesto cerchio;Dante, Virgilio, Erinni;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto09;Item 9
oggetto 10;X;Sesto cerchio;Dante, Virgilio, Farinata degli Uberti;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto10;Item 10
oggetto 11;XI;Sesto cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto11;Item 11
oggetto 12;XII;Settimo cerchio;Dante, Virgilio, Minotauro;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto12;Item 12
oggetto 13;XIII;Settimo cerchio;Dante, Virgilio, Arpie, Pier della Vigna;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto13;Item 13
oggetto 14;XIV;Settimo cerchio;Dante, Virgilio, Capaneo;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto14;Item 14
oggetto 15;XV;Settimo cerchio;Dante, Virgilio, Brunetto Latini;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto15;Item 15
oggetto 17;XVII;Settimo cerchio;Dante, Virgilio, Gerione;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto17;Item 17
oggetto 18;XVIII;Ottavo cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto18;Item 18
oggetto 19;XIX;Ottavo cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto19;Item 19
oggetto 21;XXI;Ottavo cerchio;Dante, Virgilio, Malebranche;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto21;Item 21
oggetto 22;XXII;Ottavo cerchio;Malebranche, Ciampolo ;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto22;Item 22
oggetto 23;XXIII;Ottavo cerchio;Dante, Virgilio, Ipocriti;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto23;Item 23
oggetto 24;XXIV;Ottavo cerchio;I ladri;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto24;Item 24
oggetto 25;XXV;Ottavo cerchio;Cacus ;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto25;Item 25
oggetto 26;XXVI;Ottavo cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto26;Item 26
oggetto 28;XXVIII;Ottavo cerchio;Dante, Virgilio, Bertran de Born;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto28;Item 28
oggetto 29;XXIX;Ottavo cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto29;Item 29
oggetto 30;XXX;Ottavo cerchio;Dante, Virgilio, Mirra;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto30;Item 30
oggetto 31;XXXI;Nono cerchio;Dante, Virgilio, Anteo;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto31;Item 31
oggetto 32;XXXII;Nono cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto32;Item 32
oggetto 33;XXXIII;Nono cerchio;Ugolino della Gherardesca, Figli di Ugolino ;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto33;Item 33
oggetto 34;XXXIV;Nono cerchio;Dante, Virgilio;Gustave Doré;1861;Parigi;Xilografia;Bianco e nero;Hachette;canto34;Item 34
